"x"
"1"	451
"2"	989
"3"	1000
"4"	817
"5"	184
"6"	533
"7"	397
"8"	112
"9"	908
"10"	323
"11"	1129
"12"	1374
"13"	240
"14"	603
"15"	746
"16"	151
"17"	936
"18"	1287
"19"	1436
"20"	1311
"21"	179
"22"	1200
"23"	1192
"24"	454
"25"	1310
"26"	1038
"27"	654
"28"	1300
"29"	757
"30"	627
"31"	582
"32"	156
"33"	659
"34"	1176
"35"	1346
"36"	983
"37"	921
"38"	1332
"39"	312
"40"	736
"41"	909
"42"	1006
"43"	1131
"44"	559
"45"	837
"46"	976
"47"	1370
"48"	1215
"49"	937
"50"	1237
"51"	1090
"52"	605
"53"	617
"54"	563
"55"	1380
"56"	1004
"57"	1260
"58"	1155
"59"	29
"60"	910
"61"	256
"62"	241
"63"	719
"64"	1099
"65"	553
"66"	884
"67"	1043
"68"	1069
"69"	229
"70"	966
"71"	972
"72"	1251
"73"	1295
"74"	1357
"75"	61
"76"	484
"77"	1226
"78"	1156
"79"	758
"80"	1298
"81"	567
"82"	998
"83"	200
"84"	1163
"85"	412
"86"	766
"87"	1349
"88"	37
"89"	322
"90"	518
"91"	870
"92"	93
"93"	59
"94"	818
"95"	734
"96"	1037
"97"	568
"98"	1091
"99"	564
"100"	756
"101"	1338
"102"	953
"103"	560
"104"	221
"105"	586
"106"	1429
"107"	367
"108"	373
"109"	334
"110"	483
"111"	760
"112"	1052
"113"	491
"114"	1174
"115"	144
"116"	844
"117"	1154
"118"	430
"119"	356
"120"	442
"121"	378
"122"	149
"123"	857
"124"	1232
"125"	883
"126"	805
"127"	740
"128"	1055
"129"	648
"130"	1016
"131"	1094
"132"	194
"133"	1207
"134"	957
"135"	321
"136"	1230
"137"	1071
"138"	168
"139"	84
"140"	522
"141"	643
"142"	673
"143"	233
